Time_Interval,Task_ID,Priority,Deadline_ms,Required_CPU_MCycles,Required_RAM_MB,Estimated_Energy_J
1,TASK_826,Medium,266,1634,2917,13.88
1,TASK_710,Medium,189,1722,3555,89.45
1,TASK_742,Medium,251,1972,778,105.64
1,TASK_951,Medium,328,2806,3670,107.43
1,TASK_138,Low,882,1016,1701,115.79
1,TASK_928,High,145,574,989,53.2
1,TASK_537,Low,947,1959,1416,107.39
1,TASK_491,Low,958,1251,2035,93.02
2,TASK_543,Low,562,2259,2576,74.1
2,TASK_219,Low,500,2520,3584,29.69
2,TASK_74,Low,478,2701,303,22.77
2,TASK_282,Medium,151,2984,2600,112.93
2,TASK_20,High,135,1927,3977,25.18
3,TASK_746,Low,936,908,2715,9.63
3,TASK_188,High,91,2552,1770,100.56
3,TASK_816,Low,915,619,2818,10.6
3,TASK_250,Low,749,1082,188,46.69
3,TASK_970,High,87,2465,2091,64.58
3,TASK_843,Medium,300,1176,767,52.24
4,TASK_829,High,63,2109,3637,19.18
4,TASK_78,High,81,1901,497,119.95
4,TASK_358,Medium,152,831,146,18.84
4,TASK_539,Medium,257,864,347,69.85
5,TASK_921,Medium,338,651,2070,70.25
5,TASK_789,Low,713,2718,3014,11.85
5,TASK_455,Medium,198,1324,2693,50.65
5,TASK_118,Medium,246,2241,196,7.2
5,TASK_139,High,56,2029,2814,6.18
5,TASK_673,Low,835,1129,1084,52.41
6,TASK_367,High,74,1276,1505,24.66
6,TASK_890,High,102,1351,2985,64.76
6,TASK_458,Medium,299,2787,2360,46.45
6,TASK_811,High,121,541,1447,70.99
7,TASK_276,Medium,271,362,1157,69.65
7,TASK_969,Medium,236,1615,3554,24.76
7,TASK_663,High,74,1483,2506,7.41
8,TASK_575,Medium,303,830,2891,16.89
8,TASK_1000,Medium,239,1718,1654,82.61
8,TASK_66,Low,882,2196,3619,9.61
8,TASK_757,Medium,370,2238,1264,14.91
8,TASK_903,Medium,332,2123,2451,81.96
8,TASK_952,Medium,281,651,2965,73.65
8,TASK_422,High,86,2859,3292,10.9
8,TASK_345,Low,682,361,274,88.76
8,TASK_451,Medium,308,1946,321,82.32
9,TASK_56,High,103,531,3056,105.13
9,TASK_627,Medium,247,2132,2515,55.95
9,TASK_659,Medium,177,1085,357,85.7
9,TASK_106,Medium,356,2221,496,48.67
9,TASK_289,Medium,160,1924,2646,98.69
10,TASK_528,Low,581,2351,3554,8.2
10,TASK_785,Low,440,2212,1045,30.36
11,TASK_269,Low,960,281,2982,66.13
11,TASK_796,Medium,218,880,3953,55.81
12,TASK_123,Medium,166,878,2378,44.68
12,TASK_208,Low,599,1722,2263,108.31
12,TASK_568,Low,469,1347,1976,69.01
12,TASK_558,High,105,1282,3019,5.13
12,TASK_604,High,82,2736,2860,119.49
12,TASK_930,High,57,794,1211,64.08
12,TASK_846,Medium,247,2752,2614,7.76
12,TASK_749,Medium,345,860,1466,71.77
13,TASK_989,Medium,325,2026,1240,87.82
13,TASK_468,High,113,1091,3009,71.45
13,TASK_607,Medium,210,2252,3577,42.6
13,TASK_414,High,107,832,1295,112.0
13,TASK_159,High,134,2041,2896,22.3
14,TASK_55,High,74,1336,1600,5.08
14,TASK_965,Medium,240,2585,1575,54.05
14,TASK_959,Medium,322,2462,2271,35.91
14,TASK_85,Medium,370,2666,1492,44.15
14,TASK_739,Medium,311,1416,2386,36.86
15,TASK_36,High,55,719,1305,37.86
15,TASK_88,Medium,309,2198,494,109.72
15,TASK_4,Medium,368,903,1077,47.72
15,TASK_977,Low,682,1548,3446,81.92
15,TASK_447,Low,561,992,2833,39.19
15,TASK_101,Medium,279,1881,2345,88.33
15,TASK_144,High,135,1663,2764,40.87
16,TASK_540,High,79,232,2053,62.53
16,TASK_751,Medium,297,2835,3762,82.31
16,TASK_500,Low,537,434,1025,82.8
17,TASK_401,High,130,2009,656,36.65
17,TASK_886,Low,775,391,3467,21.1
17,TASK_983,High,106,624,2281,57.73
17,TASK_362,Medium,172,1788,2350,30.61
17,TASK_612,Medium,192,1789,3078,41.25
18,TASK_974,High,61,2264,1494,98.36
18,TASK_51,Medium,359,1974,2589,30.09
18,TASK_384,Medium,159,1245,983,104.87
19,TASK_477,Medium,212,528,3932,102.82
19,TASK_620,Low,976,1781,3679,105.38
19,TASK_696,Medium,359,1071,2122,12.07
19,TASK_689,High,134,2668,2978,18.24
